device,dtype,M,N,K,time_sec,TFLOPS
cpu,float32,128,128,128,6.0012249974533915e-06,0.6989079732521019
cpu,float32,256,256,256,3.050908347358927e-05,1.0998177650615757
cpu,float32,512,512,512,0.000206081040087156,1.302572307896316
cpu,float32,1024,1024,1024,0.0017524082912132144,1.2254470940178388
cpu,float32,1536,1536,1536,0.007004834013059735,1.03467937976651
cpu,float32,2048,2048,2048,0.018743020948022604,0.9166008634169766
